paper_id,title,year,source_collection,attachment_item_id,attachment_key,indexed_chars,total_pages,fulltext_chars,section_introduction,section_related_work,section_preliminaries,section_method,section_experiments,section_conclusion,signal_problem,signal_gap,signal_proposal,signal_contribution_list,signal_quantified_result,theorem_count,lemma_count,proposition_count,corollary_count,proof_count,assumption_count,complexity_signal_count,metric_quality,metric_latency,metric_throughput,metric_build,metric_update,metric_memory,signal_ablation,signal_sensitivity,signal_fairness,signal_reproducibility,baseline_mentions,speedup_mentions,percent_mentions,signal_tradeoff
1,Vector Databases: What's Really New and What's Next? (VLDB 2024 Panel),2024,ANN,235,UYXDK3IZ,0,2,9602,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,diskann,0,0,0
2,SingleStore-V: An Integrated Vector Database System in SingleStore,2024,SIGMOD/VLDB,236,GYHVH7AS,0,14,76724,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf-pq; ivf; pq; spann; faiss,1,0,1
3,DET-LSH: A Locality-Sensitive Hashing Scheme with Dynamic Encoding Tree for Approximate Nearest Neighbor Search,2024,ANN,238,AWFI9YLE,0,14,74999,1,1,0,0,0,0,1,1,0,1,1,4,10,0,0,6,0,1,1,0,0,1,1,1,0,1,1,1,hnsw,11,0,1
4,Extensible and Robust Evaluation of Similarity Queries,2025,SIGMOD/VLDB,239,PXLN382C,0,15,98011,1,1,0,0,0,1,1,1,1,1,0,1,5,0,0,0,6,0,1,0,1,1,1,1,0,1,1,1,pq,0,0,0
5,Accelerating Approximate Nearest Neighbor Search in Hierarchical Graphs: Efficient Level Navigation with Shortcuts,2025,ANN,240,SHD5F3JS,0,13,73724,1,1,0,0,0,1,1,1,0,0,1,6,14,0,0,7,0,0,1,1,0,1,1,1,1,1,1,1,hnsw,1,0,0
6,Dynamic Range-Filtering Approximate Nearest Neighbor Search,2025,ANN,241,UKEUZQKE,0,15,91319,1,1,0,0,1,0,1,1,1,1,0,12,20,0,0,21,5,5,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; acorn,0,0,1
7,Wolverine: Highly Efficient Monotonic Search Path Repair for Graph-Based ANN Index Updates,2025,ANN,242,YQYIA5CN,0,13,78363,1,1,0,0,1,1,1,1,1,0,0,0,6,0,0,2,0,7,1,1,1,1,1,1,0,1,1,1,hnsw; diskann,0,0,1
8,Revisiting the Index Construction of Proximity Graph-Based Approximate Nearest Neighbor Search,2025,ANN,244,FU6SI9YR,0,16,87510,1,0,0,0,0,1,0,1,1,1,1,7,5,0,0,5,0,1,1,0,1,1,1,1,0,1,1,1,hnsw; diskann; spann,38,0,1
9,Holistic Query Approximation via RL Modeling,2025,SIGMOD/VLDB,246,MXM7WDCT,0,14,86236,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,,1,0,1
10,Unleashing Graph Partitioning for Large-Scale Nearest Neighbor Search,2024,ANN,248,XDJ9HCCX,0,17,67930,1,0,0,0,0,1,1,1,0,0,1,7,1,0,0,5,1,15,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; pq; spann; faiss,8,0,1
11,VStream: A Distributed Streaming Vector Search System,2025,ANN,249,RF89UHFX,0,14,80605,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; ivf-pq; pq; spann; faiss; knn-index,0,0,1
12,UNIFY: Unified Index for Range Filtered Approximate Nearest Neighbors Search,2025,ANN,251,KPSSW6R9,0,13,75449,1,1,0,1,1,1,1,1,1,1,0,3,3,0,0,1,2,11,1,1,1,1,1,1,0,1,0,1,hnsw; diskann; ivf-pq; ivf; pq; faiss,0,0,1
13,GTI: Graph-Based Tree Index with Logarithm Updates for Nearest Neighbor Search in High-Dimensional Spaces,2024,ANN,252,RQCJ5F6C,0,14,89805,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,1,0,0,1,1,1,0,1,1,1,hnsw; spann,0,0,1
14,Efficient Data-aware Distance Comparison Operations for High-Dimensional Approximate Nearest Neighbor Search,2024,ANN,254,2EH28JVP,0,10,54195,1,0,0,0,1,1,0,1,1,0,0,0,13,0,0,10,1,1,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf; spann; faiss,0,0,1
15,Towards Sufficient GPU-Accelerated Dynamic Graph Management: Survey and Experiment,2024,ANN,256,KF38Z6SE,0,14,80402,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,2,1,1,1,1,0,1,1,0,1,1,1,,0,0,1
16,Cardinality Estimation for Similarity Search on High-Dimensional Data Objects: The Impact of Reference Objects,2024,SIGMOD/VLDB,257,YERBYFCP,0,13,81877,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,6,1,1,0,1,1,1,0,1,1,1,hnsw; faiss; acorn,12,0,1
17,CUTTANA: Scalable Graph Partitioning for Faster Distributed Graph Databases and Analytics,2024,SIGMOD/VLDB,259,99VPQGC7,0,33,74197,1,1,1,0,0,0,1,1,1,1,1,4,3,1,0,3,0,23,0,1,1,0,1,1,1,1,0,1,,1,0,1
19,Select Edges Wisely: Monotonic Path Aware Graph Layout Optimization for Disk-Based ANN Search,2025,ANN,263,LF337RE5,0,13,76059,1,1,0,0,0,1,1,1,1,1,0,2,9,0,0,6,2,4,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; pq; spann; faiss,0,0,1
20,Cracking Vector Search Indexes,2025,ANN,265,ID9YZX2T,0,14,86242,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; scann; spann; faiss,6,0,1
21,SVFusion: A CPU-GPU Co-Processing Architecture for Large-Scale Real-Time Vector Search,2026,ANN,268,ZA2QDK63,0,14,83249,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; scann; faiss,0,0,1
22,Elastic Index Selection for Label-Hybrid AKNN Search,2025,ANN,271,LPT46RGS,0,18,106998,1,1,0,0,1,1,0,1,1,0,1,3,5,0,0,6,1,2,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; acorn,0,6,1
23,A Topology-Aware Localized Update Strategy for Graph-Based ANN Index,2025,ANN,273,5CZ44NA2,0,14,86668,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,hnsw; diskann; ivf; spann; faiss; acorn,10,0,1
24,RED-ANNS: An RDMA-Enabled Distributed Framework for Graph-Based Approximate Nearest Neighbor Search,2025,ANN,274,RWWSIVZC,0,14,90578,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; pq; spann; faiss,0,0,1
25,ConANN: Conformal Approximate Nearest Neighbor Search,2025,ANN,234,SGD2LN89,0,14,82726,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,5,1,1,1,0,1,1,1,0,1,1,1,hnsw; ivf-pq; ivf; pq; faiss,2,0,0
26,Machine Learning for Graph Data Management and Query Processing,2025,ANN,276,57KCBP3F,0,5,28614,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,,0,0,0
27,"Cost-Effective, Low Latency Vector Search with Azure Cosmos DB",2025,ANN,278,HNG975Q4,0,18,94379,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf; pq; scann; spann; faiss,4,0,0
28,VSAG: An Optimized Search Framework for Graph-based Approximate Nearest Neighbor Search,2025,ANN,280,J8UHVEDK,0,17,93891,1,1,0,0,0,1,1,1,1,1,1,11,0,0,0,7,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; pq; scann; faiss; ten_t,3,0,1
31,SIEVE: Effective Filtered Vector Search with Collection of Indexes,2025,ANN,284,LK9EY7TJ,0,16,102136,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,3,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; faiss; acorn,1,0,1
32,NaviX: A Native Vector Index Design for Graph DBMSs With Robust Predicate-Agnostic Search Performance,2025,ANN,286,K99F466Y,0,17,93551,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,hnsw; diskann; ivf; spann; faiss; knn-index; acorn; navix,19,0,1
33,VecFlow: A High-Performance Vector Data Management System for Filtered-Search on GPUs,2025,ANN,287,584J29F5,0,27,96598,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf; faiss; acorn,14,0,1
34,DARTH: Declarative Recall Through Early Termination for Approximate Nearest Neighbor Search,2025,ANN,289,PLTYGDU2,0,26,106037,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf-pq; ivf; pq; scann; spann; faiss,38,0,1
35,HARMONY: A Scalable Distributed Vector Database for High-Throughput Approximate Nearest Neighbor Search,2025,ANN,290,CZK4CJ9J,0,28,99731,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf-pq; ivf; pq; spann; faiss,0,0,1
36,Accelerating High-Dimensional ANN Search via Skipping Redundant Distance Computations,2025,ANN,291,BTKR3HTV,0,29,102926,1,1,0,0,1,1,1,1,1,1,1,8,11,0,0,4,0,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf-pq; ivf; spann,3,0,1
37,Attribute Filtering in Approximate Nearest Neighbor Search: An In-depth Experimental Study,2025,ANN,292,93EVNBVE,0,26,82911,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,hnsw; diskann; ivf-pq; ivf; pq; faiss; acorn,0,0,1
38,TRIM: Accelerating High-Dimensional Vector Similarity Search with Enhanced Triangle-Inequality-Based Pruning,2025,SIGMOD/VLDB,293,NRKUFX3K,0,26,94414,1,1,0,1,0,0,1,1,1,1,1,12,3,0,0,5,0,4,1,0,1,1,1,1,1,1,1,1,hnsw; diskann; ivf-pq; ivf; pq; faiss,2,0,1
39,Scalable Graph Indexing using GPUs for Approximate Nearest Neighbor Search,2025,ANN,294,6WW3QYKX,0,27,98963,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; spann,0,0,1
40,Dynamically Detect and Fix Hardness for Efficient Approximate Nearest Neighbor Search,2025,ANN,295,N2NFFRMC,0,28,111174,1,1,0,1,0,1,1,1,1,1,1,14,0,0,3,1,0,4,1,1,1,1,1,1,1,1,1,1,hnsw; diskann,9,0,1
41,"High-Throughput, Cost-Effective Billion-Scale Vector Search with a Single GPU",2025,ANN,296,SCZAGFIQ,0,27,90522,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,diskann; pq; spann; faiss,5,0,1
42,Efficient Approximate Nearest Neighbor Search via Hemi-Sphere Centroids Graph,2025,ANN,297,QG97Z2XL,0,26,88938,1,0,0,0,1,0,0,1,1,0,1,17,8,0,0,9,3,0,1,0,1,1,1,1,1,1,1,1,hnsw; diskann; pq,4,0,0
43,WoW: A Window-to-Window Incremental Index for Range-Filtering Approximate Nearest Neighbor Search,2025,ANN,298,Y2DTHT4L,0,27,96407,1,0,0,0,0,1,1,1,1,0,0,10,0,0,0,2,1,14,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; pq; spann; acorn,0,0,0
44,VecFlow-Chamfer: A GPU-based Data Management System for High-Performance Multi-Vector Search on Superchips,2026,SIGMOD/VLDB,299,UGBT5S26,0,26,90376,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf-pq; ivf; pq; spann; faiss,2,0,1
45,Reveal Hidden Pitfalls and Navigate Next Generation of Vector Similarity Search from Task-Centric Views: [Experiments & Analysis],2026,SIGMOD/VLDB,301,9ISB3XPJ,0,25,91539,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf-pq; scann; spann; faiss,0,0,1
46,RAIRS: Optimizing Redundant Assignment and List Layout for IVF-Based ANN Search,2026,ANN,303,8LPYR5MX,0,27,93272,1,1,1,0,1,1,1,1,1,0,1,3,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf-pq; ivf; pq; spann; faiss,11,0,1
47,On Efficient Approximate Aggregate Nearest Neighbor Queries over Learned Representations,2026,ANN,305,IRFMNC5S,0,26,82293,1,1,0,0,0,1,1,1,1,0,0,8,0,0,0,0,1,3,1,1,1,0,1,0,0,1,1,0,,0,0,1
48,FlashANNS: GPU-Driven Asynchronous I/O Pipelining for Eliminating Storage-Compute Bottlenecks in Billion-Scale Similarity Search,2026,ANN,307,RK8GDSJE,0,27,78863,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,diskann; pq; spann,0,0,1
49,FGIM: a Fast Graph-based Indexes Merging Framework for Approximate Nearest Neighbor Search,2026,ANN,308,H7GAURGM,0,27,93079,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,0,hnsw; diskann; ivf-pq; pq,0,0,1
50,Efficient and Robust Out-Of-Distribution Vector Similarity Search with Cross-Distribution Monotonic Graph,2026,ANN,309,A36AKUCS,0,29,110836,1,1,0,0,0,1,1,1,1,0,1,0,9,0,0,2,5,2,1,1,1,1,0,1,1,1,1,1,hnsw; diskann; ivf; pq,13,0,1
51,Distribution-Aware Exploration for Adaptive HNSW Search,2026,ANN,311,3IVKJ6QW,0,27,103285,1,1,0,0,0,1,0,1,1,0,0,10,0,0,0,2,6,0,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; spann; faiss,0,0,1
52,Curator: Efficient Vector Search with Low-Selectivity Filters,2026,ANN,312,QJRRE93X,0,27,92108,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; spann; faiss; acorn,0,0,1
53,CoTra: Towards Efficient and Scalable Distributed Vector Search with RDMA,2026,ANN,313,CMNGCZEC,0,27,95587,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; spann; faiss; dijkstra,0,0,0
54,CANDOR-Bench: Benchmarking In-Memory Continuous ANNS under Dynamic Open-World Streams [Experiments & Analysis],2026,ANN,315,CGHV4EZJ,0,27,97119,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf-pq; pq; scann; spann; faiss,0,0,1
55,A Comprehensive Survey and Experimental Comparison of Graph-Based Approximate Nearest Neighbor Search,2021,ANN,318,7SI8VTV8,0,28,161749,1,0,0,0,0,0,0,1,0,1,1,0,4,0,0,11,0,36,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; faiss,2,0,1
56,TaCo: Data-adaptive and Query-aware Subspace Collision for High-dimensional Approximate Nearest Neighbor Search,2026,ANN,321,NPQN2QHB,0,28,98628,1,1,0,0,0,0,1,1,1,1,0,11,10,0,0,7,1,0,1,0,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; spann; faiss; acorn,2,0,1
57,Gorgeous: Revisiting the Data Layout for Disk-Resident High-Dimensional Vector Search,2025,ANN,323,TWCK2C2Q,0,15,97792,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; pq; spann,5,0,1
58,GEM: A Native Graph-based Index for Multi-Vector Retrieval,2026,ANN,326,RBP5N3NT,0,15,89374,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,2,0,1,1,0,1,1,1,1,1,1,1,hnsw; diskann; ivf-pq; ivf; pq,5,0,1
59,AlayaLaser: Efficient Index Layout and Search Strategy for Large-scale High-dimensional Vector Similarity Search,2026,ANN,329,RA65DJDG,0,15,89835,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; pq; spann,14,0,1
61,An In-Depth Study of Filter-Agnostic Vector Search on a PostgreSQL Database System: [Experiments and Analysis],2026,ANN,332,39VP7JPA,0,26,94892,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,hnsw; scann; acorn; navix,9,1,1
62,RaBitQ: Quantizing High-Dimensional Vectors with a Theoretical Error Bound for Approximate Nearest Neighbor Search,2024,ANN,334,BCEVJ6NG,0,27,109613,1,1,0,0,0,1,1,1,1,0,1,7,8,0,0,4,1,3,1,1,1,1,0,1,1,1,1,1,hnsw; diskann; ivf; pq; scann; spann; faiss,11,0,1
63,GTS: GPU-based Tree Index for Fast Similarity Search,2024,SIGMOD/VLDB,335,XXXIDMHC,0,27,98056,1,1,0,1,0,0,1,1,1,0,1,0,14,0,0,2,0,18,1,0,1,1,1,1,0,1,1,1,,3,0,1
64,ACORN: Performant and Predicate-Agnostic Search Over Vector Embeddings and Structured Data,2024,ANN,336,V4FXG99C,0,27,97740,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,3,1,1,0,1,1,1,1,0,1,1,1,hnsw; diskann; ivf-pq; ivf; pq; faiss; acorn,2,0,1
65,SeRF: Segment Graph for Range-Filtering Approximate Nearest Neighbor Search,2024,ANN,337,XHGQF43F,0,26,93501,1,1,0,0,1,1,1,1,1,0,0,7,15,0,0,11,8,7,1,0,1,1,1,1,0,1,0,1,hnsw; diskann; ivf-pq; pq; faiss,0,0,1
66,Worst-Case-Optimal Similarity Joins on Graph Databases,2024,ANN,339,F7GLGHQM,0,26,98801,1,0,0,0,0,0,1,1,1,0,0,9,6,0,0,15,0,1,1,0,0,1,1,1,0,1,1,0,,0,0,0
67,Starling: An I/O-Efficient Disk-Resident Graph Index Framework for High-Dimensional Vector Similarity Search on Data Segment,2024,SIGMOD/VLDB,340,QPHXBKCQ,0,39,138381,1,0,0,0,0,1,1,1,1,0,1,3,2,0,0,4,3,12,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf-pq; pq; spann; faiss,7,0,1
68,SALI: A Scalable Adaptive Learned Index Framework based on Probability Models,2023,SIGMOD/VLDB,341,I42FXN44,0,25,85279,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,4,0,0
69,Learning to Optimize LSM-trees: Towards A Reinforcement Learning based Key-Value Store for Dynamic Workloads,2023,SIGMOD/VLDB,342,I6WKSV2K,0,25,97780,1,1,1,1,1,1,1,1,1,0,1,0,4,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,,2,0,1
72,iRangeGraph: Improvising Range-dedicated Graphs for Range-filtering Nearest Neighbor Search,2024,ANN,345,4G62Q6SJ,0,26,102876,1,1,0,0,0,1,1,1,0,0,1,5,0,0,0,2,0,33,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; spann; faiss; acorn,20,0,1
73,Navigating Labels and Vectors: A Unified Approach to Filtered Approximate Nearest Neighbor Search,2024,ANN,347,QAKEYRCC,0,27,99364,1,1,1,0,0,1,1,1,1,1,0,4,0,0,0,1,0,12,1,0,1,1,1,1,0,1,1,1,hnsw; diskann; ivf; pq; faiss; acorn,0,0,1
74,Subspace Collision: An Efficient and Accurate Framework for High-dimensional Approximate Nearest Neighbor Search,2025,ANN,348,CIHEKGNT,0,29,105277,1,1,0,0,0,0,1,1,1,1,1,13,0,0,0,9,0,5,1,0,1,1,1,1,0,1,1,1,hnsw; diskann; pq; spann,2,0,1
75,Graph-Based Vector Search: An Experimental Evaluation of the State-of-the-Art,2025,ANN,349,AD4IQHB4,0,31,115055,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,2,1,1,0,1,1,1,0,1,1,1,hnsw; diskann; ivf-pq; ivf; pq,6,0,1
76,Aster: Enhancing LSM-structures for Scalable Graph Database,2025,ANN,545,QX6DFZTN,0,26,102497,1,0,1,0,1,1,1,1,1,1,1,0,5,0,1,2,1,2,1,1,1,0,1,1,0,1,1,1,aster,2,0,1
77,SymphonyQG: Towards Symphonious Integration of Quantization and Graph for Approximate Nearest Neighbor Search,2025,ANN,353,JXZTSMK7,0,26,101595,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; pq; spann; faiss,27,0,1
78,DEG: Efficient Hybrid Vector Search Using the Dynamic Edge Navigation Graph,2025,ANN,354,45WWG2CP,0,28,102594,1,1,0,0,0,0,0,1,1,0,0,2,3,0,0,3,1,7,1,0,1,1,1,1,1,1,1,1,hnsw,0,0,1
79,PDX: A Data Layout for Vector Similarity Search,2025,SIGMOD/VLDB,356,LIJ48XZ3,0,26,90619,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,hnsw; diskann; ivf; spann; faiss,64,0,1
80,DIGRA: A Dynamic Graph Indexing for Approximate Nearest Neighbor Search with Range Filter,2025,ANN,358,BESDCAAE,0,26,92051,1,1,0,0,0,0,1,1,1,1,1,13,8,0,0,0,0,8,1,0,1,1,1,1,1,1,0,1,hnsw; diskann; pq; spann; acorn,2,0,1
81,Efficient Dynamic Indexing for Range Filtered Approximate Nearest Neighbor Search,2025,ANN,360,M9HWZHP9,0,26,97285,1,1,1,0,0,0,1,1,1,0,1,12,4,0,0,0,0,4,1,0,1,1,1,1,0,1,1,1,hnsw; ivf-pq; ivf; pq; scann; spann; faiss; acorn,2,0,1
82,Accelerating Graph Indexing for ANNS on Modern CPUs,2025,ANN,361,II9DLFR8,0,29,115019,1,0,0,0,1,1,1,1,1,0,0,7,2,0,0,2,0,1,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; pq; spann; faiss; acorn,0,0,1
84,MIRAGE-ANNS: Mixed Approach Graph-based Indexing for Approximate Nearest Neighbor Search,2025,ANN,363,T4UXUSLU,0,27,83199,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,hnsw; diskann; spann; faiss; acorn,2,0,1
85,FAAQP: Fast and Accurate Approximate Query Processing based on Bitmap-augmented Sum-Product Network,2025,SIGMOD/VLDB,364,6NJQLC5P,0,26,90878,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,6,0,1,1,0,1,1,1,1,1,1,1,,0,0,1
86,Practical and Asymptotically Optimal Quantization of High-Dimensional Vectors in Euclidean Space for Approximate Nearest Neighbor Search,2025,ANN,365,4WY3QYEH,0,26,101205,1,1,0,0,0,1,1,1,1,0,1,6,17,0,0,8,0,2,1,1,1,1,1,1,1,1,1,1,hnsw; diskann; ivf; pq; scann; spann; faiss; acorn,14,0,1
87,PilotDB: Database-Agnostic Online Approximate Query Processing with A Priori Error Guarantees,2025,SIGMOD/VLDB,366,7DY99SXN,0,28,99880,1,1,0,0,1,1,1,1,1,0,1,8,10,8,0,10,3,0,1,1,1,0,1,1,1,1,1,1,,30,0,0
